Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2kg;665.00
Toshiba;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.25kg;1535.00
Lenovo;2 in 1 Convertible;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;999.00
Lenovo;Workstation;15.6;Intel Core i7 7600U 2.8GHz;16GB;1TB SSD;Nvidia Quadro M520M;Windows 10;2.5kg;3299.00
Acer;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.68kg;330.00
Samsung;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;0.81kg;1649.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.86kg;539.00
Dell;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1126.71
HP;Workstation;17.3;Intel Xeon E3-1535M v5 2.9GHz;16GB;256GB SSD;Nvidia Quadro M2000M;Windows 7;3kg;4389.00
Lenovo;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;128GB SSD;Intel HD Graphics 400;Windows 10;1.4kg;475.00
HP;Notebook;15.6;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.84kg;1900.00
Asus;Notebook;15.6;Intel Core i5 6300HQ 2.3GHz;4GB;1TB HDD;Nvidia GeForce GTX 950M;No OS;2.45kg;579.00
Lenovo;Ultrabook;14;Intel Core i5 6200U 2.3GHz;4GB;180GB SSD;Intel HD Graphics 520;Windows 10;1.7kg;1096.00
Asus;Notebook;15.6;Intel Core i7 7500U 2.7GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.37kg;849.90
Lenovo;2 in 1 Convertible;13.3;Intel Core i5 6260U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 540;Windows 10;1.3kg;1199.00
HP;Notebook;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1099.00
HP;Workstation;15.6;Intel Core i7 6700HQ 2.6GHz;8GB;256GB SSD;Nvidia Quadro M1000M;Windows 7;2.59kg;1561.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2868.99
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.1kg;599.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;1048.00
Dell;Ultrabook;12.5;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.18kg;1859.00
Google;Ultrabook;12.3;Intel Core i5 7Y57 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;Chrome OS;1.1kg;1559.00
Asus;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.2kg;1129.00
Dell;Notebook;13.3;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.65kg;849.00
Acer;Notebook;13.3;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;655.00
Asus;Notebook;17.3;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8kg;470.34
Dell;Gaming;15.6;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.72kg;1099.00
Samsung;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.31kg;1599.00
Acer;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Linux;2.1kg;298.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon R7 M445;Windows 10;2.3kg;1181.27
Samsung;2 in 1 Convertible;15;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon 540;Windows 10;1.71kg;1799.00
Toshiba;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.75kg;1020.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;1099.00
HP;Ultrabook;12.5;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1244.00
Asus;2 in 1 Convertible;15.6;Intel Core i7 7500U 2.7GHz;12GB;2TB HDD;Nvidia GeForce 940MX;Windows 10;2.3kg;839.00
Lenovo;Notebook;15.6;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro M2000M;Windows 7;2.5kg;2370.00
Acer;Notebook;14;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.8kg;636.00
Razer;Gaming;14;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1060;Windows 10;1.95kg;2899.00
Asus;Notebook;15.6;Intel Pentium Dual Core N4200 1.1GHz;8GB;128GB SSD;Intel HD Graphics 505;Windows 10;2kg;581.90
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD +  1TB HDD;Nvidia GeForce GTX 1070M;Windows 10;4.42kg;3588.80
Asus;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.3kg;2350.00
Toshiba;Ultrabook;14;Intel Core i7 6600U 2.6GHz;16GB;512GB SSD;Nvidia GeForce 930M;Windows 10;1.47kg;1764.00
Lenovo;Notebook;15.6;Intel Celeron Quad Core N3710 1.6GHz;8GB;1TB HDD;Intel HD Graphics 405;No OS;2.2kg;329.00
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.7kg;2299.00
MSI;Gaming;14;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.6kg;1891.00
MSI;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1089.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;4GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.4kg;999.00
Acer;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.2kg;2299.00
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.62kg;985.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX1060;Windows 10;2.24kg;1339.00
Vero;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.22kg;202.90
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1970.00
Lenovo;2 in 1 Convertible;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;AMD Radeon R7 M460;Windows 10;2.08kg;959.00
Apple;Ultrabook;12;Intel Core M 1.2GHz;8GB;512GB Flash Storage;Intel HD Graphics 5300;Mac OS X;0.920kg;1165.00
Lenovo;2 in 1 Convertible;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2330.00
Asus;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.63kg;299.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;810.00
Lenovo;2 in 1 Convertible;13.9;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.38kg;1349.00
Dell;Notebook;15.6;Intel Core i3 6006U 2GHz;8GB;256GB SSD;AMD Radeon R5 M420X;Windows 10;2kg;739.00
HP;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M2200;Windows 10;3.14kg;2064.90
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.37kg;1099.00
Dell;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1499.00
Dell;Notebook;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;1749.00
Dell;Netbook;11.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;128GB SSD;Intel HD Graphics 505;Windows 10;1.63kg;744.00
HP;Netbook;12.5;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1389.00
Toshiba;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;780.00
HP;Notebook;15.6;AMD A12-Series 9700P 2.5GHz;8GB;2TB HDD;AMD Radeon R7 Graphics;Windows 10;2.04kg;629.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62kg;1679.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920M;Windows 10;2.4kg;609.00
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;AMD Radeon RX 580;Windows 10;3.74kg;1749.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.9kg;2415.00
Samsung;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;0.81kg;1499.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce GT 940MX;Windows 10;1.98kg;961.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;AMD Radeon R5 M420;Windows 10;2.18kg;789.81
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1859.00
Razer;Ultrabook;12.5;Intel Core i7 7500U 2.5GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1799.00
HP;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.23kg;385.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.36kg;2505.02
Dell;Notebook;14;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.76kg;755.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;489.90
Toshiba;Ultrabook;14;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.25kg;1090.00
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.13kg;2499.00
MSI;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.4kg;1199.00
Lenovo;Ultrabook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB Flash Storage;Intel HD Graphics 620;Windows 10;1.13kg;1875.00
Toshiba;Notebook;14;Intel Pentium Dual Core 4405U 2.1GHz;4GB;128GB SSD;Intel HD Graphics 510;Windows 10;1.75kg;499.00
Asus;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;1358.00
Dell;Notebook;14;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.76kg;585.00
Acer;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.35kg;355.00
Acer;Notebook;14;Intel Core i3 7100U 2.4GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.5kg;619.00
Razer;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;32GB;512GB SSD;Nvidia GeForce GTX 1080;Windows 10;3.49kg;5499.00
Lenovo;Ultrabook;14;Intel Core i7 6600U 2.6GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.1kg;2099.00
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920;Linux;2.1kg;519.00
Lenovo;Notebook;14;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.7kg;1186.00
Lenovo;Notebook;14;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1650.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.21kg;2774.63
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.9kg;2419.00
Toshiba;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.0kg;669.00
Lenovo;Notebook;14;Intel Celeron Quad Core N3160 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.5kg;325.00
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB HDD;Intel HD Graphics 620;Windows 10;2.3kg;590.00
Asus;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.73kg;1799.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;32GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;3072.89
HP;Notebook;17.3;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.63kg;910.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;713.99
HP;Ultrabook;14;Intel Core i7 6500U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 520;Windows 7;1.54kg;1870.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;4GB;256GB SSD;AMD Radeon R5 M420;Windows 10;2.18kg;739.00
HP;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Chrome OS;1.4kg;615.00
Asus;Ultrabook;13.3;Intel Core i5 6200U 2.3GHz;8GB;512GB SSD;Nvidia GeForce 940M;Windows 10;1.45kg;1026.00
HP;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28kg;2277.00
HP;Ultrabook;14;Intel Core i7 6500U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.54kg;1468.00
HP;Notebook;15.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;128GB SSD;Intel HD Graphics 400;No OS;1.86kg;299.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.1kg;1899.00
Dell;Notebook;17.3;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R7 M445;Linux;2.83kg;865.00
Lenovo;Ultrabook;14;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.96kg;1903.00
Asus;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce GTX 930MX;Windows 10;2.3kg;787.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.9kg;945.00
Asus;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Windows 10;2kg;449.00
HP;2 in 1 Convertible;13.3;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28kg;2559.00
Dell;Notebook;13.3;Intel Core i5 6200U 2.3GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.62kg;649.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;Intel HD Graphics 520;No OS;2.2kg;469.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.3kg;850.66
HP;Notebook;15.6;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;AMD Radeon R7 M465;Windows 10;1.84kg;1349.00
Toshiba;Notebook;13.3;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;1285.00
Lenovo;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;No OS;2.5kg;1017.00
Dell;Ultrabook;13.3;Intel Core i7 7660U 2.5GHz;16GB;512GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.29kg;2240.00
HP;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.07kg;910.00
Toshiba;Ultrabook;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1095.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1950.00
Acer;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.56kg;902.00
Dell;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia Quadro M620;Windows 10;2.23kg;1778.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.38kg;1055.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;No OS;2.2kg;479.00
Toshiba;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;1388.00
Lenovo;Notebook;13.3;Intel Core i3 7100U 2.4GHz;4GB;180GB SSD;Intel HD Graphics 620;Windows 10;1.44kg;735.00
Samsung;Ultrabook;15;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.23kg;1849.00
Dell;Ultrabook;12.5;Intel Core i7 7600U 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1690.00
Asus;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;Linux;2kg;398.99
Xiaomi;Ultrabook;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.28kg;935.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.18kg;912.50
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;839.00
HP;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28kg;1700.00
HP;2 in 1 Convertible;15.6;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.3kg;684.80
Asus;Notebook;14.1;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.65kg;348.00
Lenovo;Notebook;15.6;Intel Core i7 6500U 2.5GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Windows 10;2.2kg;669.00
Dell;Notebook;15.6;Intel Pentium Quad Core N3710 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Windows 10;2.2kg;369.00
HP;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28kg;1799.00
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;AMD Radeon R5 M420X;Linux;2.18kg;455.70
Asus;Gaming;17.3;Intel Core i5 7300HQ 2.5GHz;12GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1369.90
Acer;Netbook;11.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.25kg;297.00
Lenovo;Notebook;17.3;AMD A4-Series 7210 2.2GHz;4GB;500GB HDD;AMD Radeon R3;Windows 10;2.8kg;379.00
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;1265.00
HP;2 in 1 Convertible;13.3;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.42kg;1399.00
Samsung;Ultrabook;15;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.17kg;1699.00
Lenovo;Ultrabook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.32kg;1799.00
MSI;Gaming;17.3;Intel Core i7 6700HQ 2.6GHz;16GB;512GB SSD +  2TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.43kg;2649.00
Toshiba;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;1475.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050Ti;Linux;2.62kg;929.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.04kg;900.00
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;AMD Radeon R5 M420X;Windows 10;2.18kg;614.00
Dell;Notebook;15.6;Intel Core i5 7300U 2.6GHz;8GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.9kg;935.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 7Y75 1.3GHz;8GB;512GB SSD;Intel HD Graphics 615;Windows 10;1.24kg;2013.10
Asus;Gaming;17.3;Intel Core i7 6820HK 2.7GHz;32GB;256GB SSD +  256GB SSD;Nvidia GeForce GTX 980M;Windows 10;3.58kg;1279.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 7Y75 1.3GHz;16GB;256GB SSD;Intel HD Graphics 615;Windows 10;1.22kg;1649.00
Lenovo;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB Flash Storage;Intel HD Graphics 620;Windows 10;1.13kg;2049.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;1962.99
LG;Ultrabook;15.6;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.08kg;2099.00
HP;Netbook;12.5;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1483.00
Acer;Notebook;15.6;Intel Celeron Dual Core 3205U 1.5GHz;4GB;16GB Flash Storage;Intel HD Graphics;Chrome OS;2.20kg;359.00
Lenovo;Notebook;15.6;Intel Core i5 6300HQ 2.3GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 960M;Windows 10;2.6kg;789.00
LG;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;0.98kg;1899.00
Dell;Notebook;14;Intel Core i5 7440HQ 2.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1205.00
HP;Ultrabook;12.5;Intel Core M 6Y75 1.2GHz;8GB;240GB SSD;Intel HD Graphics 515;Windows 10;1.09kg;3100.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;6GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;2.2kg;789.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.04kg;1018.99
Acer;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.4kg;499.00
Lenovo;Notebook;13.3;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.44kg;881.00
HP;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.49kg;960.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1599.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.6kg;1349.00
MSI;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2kg;1119.91
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;AMD Radeon R5 M420;Windows 10;2.18kg;684.99
HP;Ultrabook;15.6;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;AMD Radeon R7 M365X;Windows 10;1.84kg;1296.99
HP;Ultrabook;13.3;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.39kg;1149.00
Toshiba;Notebook;15.6;Intel Core i7 6600U 2.6GHz;16GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;1975.00
Lenovo;2 in 1 Convertible;13.3;Intel Core i5 7200U 2.5GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.37kg;1825.00
